,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
105,A empresas de energías limpias solo les interesa el lucro: AMLO https://t.co/GvcnhXziZu https://t.co/bGZrdv7CZZ,AristeguiOnline,Hootsuite Inc.,145,827
106,"Por privacidad, no revelaremos datos clínicos del presidente: López-Gatell
https://t.co/QZ6Nw7DmSD https://t.co/jrazBhPlg8",AristeguiOnline,Hootsuite Inc.,145,1145
107,"Matan a 12 personas y dejan sus cuerpos a mitad de carretera en Las Choapas, Veracruz https://t.co/rqoQlEi1Zc https://t.co/jzvkBHMtZ2",AristeguiOnline,Hootsuite Inc.,145,349
108,Dan revés a Elektra por adeudo fiscal de 4 mil 900 mdp https://t.co/CeEj3opQdm https://t.co/glmXnaH4et,AristeguiOnline,Hootsuite Inc.,144,679
109,Un grupo de científicos publicó un trabajo de investigación que demostró que el azúcar juega un papel fundamental para que el virus SARS-CoV-2 sea capaz de camuflarse dentro del sistema inmunitario https://t.co/Va53kKynAV https://t.co/IfC7Zc8FSc,AristeguiOnline,Hootsuite Inc.,144,345
110,"Renuncia Miriam Veras Godoy, encargada del plan de vacunación contra Covid-19 https://t.co/1M2hvnPI0Y https://t.co/a4KcxDLK9y",AristeguiOnline,Hootsuite Inc.,144,414
111,"Despiden a directora de hospital que vacunó a su esposo | #Video
https://t.co/K7Foutlprg https://t.co/x94Umwj3Tb",AristeguiOnline,Hootsuite Inc.,143,915
112,"Anuncia AMLO vacunación masiva anti-Covid a partir del 12 de enero
https://t.co/XGPLnsltGU https://t.co/ExL863uIil",AristeguiOnline,Twitter for iPhone,143,629
113,"#ULTIMAHORA La nieve colapsa Madrid y otras ciudades de España por una tormenta inédita | Fotos y vídeos
https://t.co/XNy2jzuoX3 https://t.co/paH1N1Dh4c",AristeguiOnline,Twitter for iPhone,142,664
114,"Profeco llama a ciudadanía a devolver tanques de oxígeno que rentó
https://t.co/cCBibVntta https://t.co/1AvEIJ17pC",AristeguiOnline,Hootsuite Inc.,140,491
115,Enfermero de California se contagia de Covid-19 a una semana de recibir vacuna de Pfizer https://t.co/AYdXzSYd3T https://t.co/EibKDgiVsX,AristeguiOnline,Hootsuite Inc.,139,445
116,"¡Bravo! Policía de la CDMX regresa a joven mochila con 30 mil pesos que usaría para comprar un tanque de oxígeno | Video
https://t.co/mcFIihgaRA https://t.co/c9azf2EkUP",AristeguiOnline,Hootsuite Inc.,139,1092
117,"Piden a Pence la destitución de Trump; es responsable de sedición: The Washington Post
https://t.co/cMQhqdsCH5 https://t.co/Q6EDsXwxHw",AristeguiOnline,Hootsuite Inc.,138,705
118,¿El chiste es darme en la madre? No me voy a dejar: fiscal Gertz al responder sobre caso Cienfuegos https://t.co/LdWQ3YracC https://t.co/mtl487tuuB,AristeguiOnline,Hootsuite Inc.,138,614
119,"Exhiben en redes a #Ladymevale por negarse a usar cubrebocas
https://t.co/eRGdacCb99 https://t.co/ge2J85isUB",AristeguiOnline,Hootsuite Inc.,137,288
120,Presume AMLO encuesta internacional que ubica a su gobierno como el segundo mejor evaluado https://t.co/lnJ8Ctewwp https://t.co/TZRs5RXDQ0,AristeguiOnline,Hootsuite Inc.,137,1084
121,"Piden a Pence considerar la destitución de Trump de la Presidencia de EU
https://t.co/sWMF8o7BsF https://t.co/YiZoSDZGlD",AristeguiOnline,Hootsuite Inc.,136,740
122,"Hospitalizan por Covid-19 a Norberto Rivera Carrera, cardenal emérito de México https://t.co/y0CbHvazRg https://t.co/8kdVMUv3LJ",AristeguiOnline,Twitter for iPhone,135,775
123,"Por amor a la vida, quien tenga un cilindro de oxigeno, que lo devuelva; hay enfermos que lo necesitan : Ricardo Sheffield https://t.co/cnowBXxVoQ https://t.co/Xqla0idbZ8",AristeguiOnline,Hootsuite Inc.,135,284
124,García Harfuch sabía lo que estaba pasando en Iguala con estudiantes de Ayotzinapa: Anabel Hernández https://t.co/i0w3qrjkii https://t.co/TPPW4Q4hnX,AristeguiOnline,Hootsuite Inc.,135,344
125,"Protesta sindicato de Capufe por falta de suministros sanitarios; han muerto 37 empleados por Covid | #Video
https://t.co/gPdQB4fQDB https://t.co/ZfZQnidOfr",AristeguiOnline,Hootsuite Inc.,133,330
126,#AristeguiEnVivo | Lo que dice el testigo coincide con lo que que reflejaba la información publicada desde 2014 donde era claro que el Ejército mexicano había estado monitoreando a los estudiantes desde que salieron de Ayotzinapa: Anabel Hernández https://t.co/YrmOT723xr https://t.co/fCB74hCSC8,AristeguiOnline,Hootsuite Inc.,132,282
127,"Legisladores de 3 partidos piden que renuncie López-Gatell; padece síndrome de Hubris: Romero Hicks
https://t.co/56C7OZTZok https://t.co/a9Nx56VWQ7",AristeguiOnline,Hootsuite Inc.,131,716
128,"#AristeguiEnVivo | El chiste es darme en la madre, pero yo no me voy a dejar: Alejandro Gertz Manero, titular de @FGRMexico 

Aquí 👉https://t.co/Yr4FpDQ4AE https://t.co/WO2FFtK6e9",AristeguiOnline,Twitter for iPhone,130,275
129,El segundo año de la pandemia 'podría ser incluso más difícil': OMS  https://t.co/J6CUgHIN8h https://t.co/kEWrlT3r7l,AristeguiOnline,Hootsuite Inc.,130,354
130,"Así celebró equipo de Trump irrupción del Capitolio | #Video
https://t.co/RWTHGUiVCI https://t.co/XXA01wKsAy",AristeguiOnline,Hootsuite Inc.,128,309
